cnt,t1,hum,wind_speed,weather_code,is_holiday,is_weekend,season,hour
182,3.0,93.0,6.0,3,0,1,3,0
138,3.0,93.0,5.0,1,0,1,3,1
134,2.5,96.5,0.0,1,0,1,3,2
72,2.0,100.0,0.0,1,0,1,3,3
47,2.0,93.0,6.5,1,0,1,3,4
46,2.0,93.0,4.0,1,0,1,3,5
51,1.0,100.0,7.0,4,0,1,3,6
75,1.0,100.0,7.0,4,0,1,3,7
131,1.5,96.5,8.0,4,0,1,3,8
301,2.0,100.0,9.0,3,0,1,3,9
528,3.0,93.0,12.0,3,0,1,3,10
727,2.0,100.0,12.0,3,0,1,3,11
862,2.0,96.5,13.0,4,0,1,3,12
916,3.0,87.0,15.0,3,0,1,3,13
1039,2.5,90.0,8.0,3,0,1,3,14
869,2.0,93.0,11.0,3,0,1,3,15
737,3.0,93.0,12.0,3,0,1,3,16
594,3.0,93.0,11.0,3,0,1,3,17
522,3.0,93.0,6.5,3,0,1,3,18
379,3.0,93.0,7.0,3,0,1,3,19
328,3.0,93.0,4.0,3,0,1,3,20
221,3.0,93.0,5.0,4,0,1,3,21
178,3.0,93.0,6.0,4,0,1,3,22
157,4.0,87.0,5.0,4,0,1,3,23
83,4.0,93.0,6.0,4,0,0,3,0
67,4.0,93.0,5.0,4,0,0,3,1
32,5.0,87.0,6.0,4,0,0,3,2
22,6.0,84.0,7.5,4,0,0,3,3
38,6.5,84.0,8.0,4,0,0,3,4
81,6.0,87.0,5.0,4,0,0,3,5
444,7.0,81.0,5.0,3,0,0,3,6
1597,7.0,81.0,6.5,3,0,0,3,7
3161,8.0,79.0,5.0,3,0,0,3,8
1342,8.0,82.0,6.0,3,0,0,3,9
568,9.0,84.5,6.5,3,0,0,3,10
584,9.0,90.5,10.0,3,0,0,3,11
762,10.0,85.0,11.0,3,0,0,3,12
873,10.0,82.0,10.0,3,0,0,3,13
672,10.0,82.0,9.0,3,0,0,3,14
807,10.0,79.0,10.0,3,0,0,3,15
1192,10.0,73.5,13.0,3,0,0,3,16
2761,9.5,73.5,12.0,3,0,0,3,17
2389,9.5,69.0,14.0,3,0,0,3,18
1274,9.0,71.0,14.0,3,0,0,3,19
696,9.0,71.0,14.0,3,0,0,3,20
411,9.0,71.0,11.0,3,0,0,3,21
324,9.0,71.0,10.0,4,0,0,3,22
192,8.5,73.5,8.0,4,0,0,3,23
91,8.0,76.0,8.0,4,0,0,3,0
